State / Indian Tribe         ,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,year,amount,inflation rate,Year,Women,Infants,Children,Total,Food Costs,NSA* Costs,AVG Food Cost,State            ,16-Feb,Jan-17 Prelim,Feb-17 Initial,% Change vs Jan-17,% Change vs Feb-16,YEAR
,,,,,,,,,19-May,"1,509,088","1,603,629","3,244,988","6,357,705","262,068,781","103,736,599",41.22,,,,,,,
,,,,,,,,,19-Jun,"1,500,112","1,587,530","3,232,800","6,320,442","258,695,834","111,776,129",40.93,,,,,,,
,,,,,,,,,19-Jul,"1,515,497","1,597,911","3,251,625","6,365,033","260,020,850","118,667,268",40.85,,,,,,,
,,,,,,,,,19-Aug,"1,520,020","1,599,609","3,268,005","6,387,634","244,231,452","116,873,543",38.24,,,,,,,
,,,,,,,,,19-Sep,"1,508,381","1,590,550","3,247,086","6,346,017","285,088,702","214,060,053",44.92,,,,,,,
,,,,,,,,,19-Oct,"1,510,437","1,594,711","3,231,757","6,336,905","234,395,285","569,310,351",36.99,,,,,,,
,,,,,,,,,19-Nov,"1,470,041","1,562,252","3,161,002","6,193,295","256,527,101","102,590,256",41.42,,,,,,,
,,,,,,,,,19-Dec,"1,437,854","1,545,072","3,097,555","6,080,481","264,363,281","198,491,523",43.48,,,,,,,
,,,,,,,,,20-Jan,"1,472,186","1,562,258","3,129,119","6,163,563","230,488,298","132,907,924",37.4,,,,,,,
,,,,,,,,,20-Feb,"1,454,679","1,545,620","3,109,510","6,109,809","252,589,654","125,317,649",41.34,,,,,,,
,,,,,,,,,20-Mar,"1,456,878","1,560,782","3,198,181","6,215,841","250,904,780","127,261,731",40.37,,,,,,,
,,,,,,,,,20-Apr,"1,445,575","1,559,172","3,273,034","6,277,781","228,144,373","128,839,851",36.34,,,,,,,
,,,,,,,,,20-May,"1,427,298","1,546,887","3,308,850","6,283,035","209,680,005","71,179,342",33.37,,,,,,,
,,,,,,,,,20-Jun,"1,423,353","1,541,861","3,341,122","6,306,336","232,410,344","130,623,592",36.85,,,,,,,
,,,,,,,,,20-Jul,"1,422,014","1,542,046","3,366,286","6,330,346","224,095,275","96,309,376",35.4,,,,,,,
,,,,,,,,,20-Aug,"1,414,915","1,528,860","3,382,682","6,326,457","241,096,252","109,315,681",38.11,,,,,,,
,,,,,,,,,20-Sep,"1,418,524","1,522,892","3,403,707","6,345,123","259,753,901","191,912,404",40.94,,,,,,,
,,,,,,,,,20-Oct,"1,425,128","1,524,414","3,429,556","6,379,098","221,901,927","719,590,353",34.79,,,,,,,
,,,,,,,,,20-Nov,"1,405,342","1,503,717","3,420,695","6,329,754","226,592,265","52,889,560",35.8,,,,,,,
,,,,,,,,,20-Dec,"1,400,003","1,502,403","3,425,985","6,328,391","230,802,744","119,522,497",36.47,,,,,,,
,,,,,,,,,21-Jan,"1,398,377","1,489,850","3,424,777","6,313,004","219,493,409","176,821,741",34.77,,,,,,,
,,,,,,,,,21-Feb,"1,378,160","1,468,867","3,412,402","6,259,429","211,528,872","102,066,237",33.79,,,,,,,
,,,,,,,,,21-Mar,"1,389,829","1,475,496","3,431,803","6,297,128","227,307,539","114,326,478",36.1,,,,,,,
,,,,,,,,,21-Apr,"1,369,815","1,461,726","3,406,170","6,237,711","200,287,045","102,802,538",32.11,,,,,,,
,,,,,,,,,21-May,"1,349,692","1,441,526","3,377,355","6,168,573","199,318,451","105,655,824",32.31,,,,,,,
,,,,,,,,,21-Jun,"1,351,443","1,433,916","3,364,254","6,149,613","232,674,742","139,168,321",37.84,,,,,,,
,,,,,,,,,21-Jul,"1,351,323","1,426,197","3,356,884","6,134,404","236,354,570","108,660,161",38.53,,,,,,,
,,,,,,,,,21-Aug,"1,361,648","1,424,471","3,371,082","6,157,201","234,285,681","96,500,134",38.05,,,,,,,
,,,,,,,,,21-Sep,"1,369,167","1,424,197","3,380,213","6,173,577","207,442,167","179,529,450",33.6,,,,,,,
,,,,,,,,,21-Oct,"1,374,725","1,412,540","3,420,069","6,207,334","241,913,521","673,733,285",38.97,,,,,,,
,,,,,,,,,21-Nov,"1,374,039","1,413,465","3,412,567","6,200,071","269,406,024","136,201,892",43.45,,,,,,,
,,,,,,,,,21-Dec,"1,364,228","1,411,269","3,387,676","6,163,173","273,950,810","117,878,127",44.45,,,,,,,
,,,,,,,,,22-Jan,"1,370,826","1,423,746","3,374,384","6,168,956","298,419,621","133,321,333",48.37,,,,,,,
,,,,,,,,,22-Feb,"1,370,127","1,419,606","3,365,696","6,155,429","263,866,390","117,211,682",42.87,,,,,,,
,,,,,,,,,,,,,,,,,Alabama,"128,220","126,063","122,917",-2.50%,-4.10%,
,,,,,,,,,,,,,,,,,Alaska,"18,913","18,446","18,070",-2.00%,-4.50%,
,,,,,,,,,,,,,,,,,American Samoa,"6,042","5,716","5,696",-0.30%,-5.70%,
,,,,,,,,,,,,,,,,,Arizona,"161,429","150,688","146,085",-3.10%,-9.50%,
,,,,,,,,,,,,,,,,,Arkansas,"79,899","76,349","75,739",-0.80%,-5.20%,
,,,,,,,,,,,,,,,,,California,"1,174,784","1,113,961","1,074,629",-3.50%,-8.50%,
,,,,,,,,,,,,,,,,,Colorado,"86,522","83,691","83,354",-0.40%,-3.70%,
,,,,,,,,,,,,,,,,,Connecticut,"48,351","47,993","46,865",-2.40%,-3.10%,
,,,,,,,,,,,,,,,,,Delaware,"18,210","16,751","16,524",-1.40%,-9.30%,
,,,,,,,,,,,,,,,,,District of Columbia,"14,081","14,029","13,586",-3.20%,-3.50%,
,,,,,,,,,,,,,,,,,Florida,"477,177","472,252","436,692",-7.50%,-8.50%,
,,,,,,,,,,,,,,,,,Georgia,"252,786","242,428","238,233",-1.70%,-5.80%,
,,,,,,,,,,,,,,,,,Guam,"7,151","6,660","6,639",-0.30%,-7.20%,
,,,,,,,,,,,,,,,,,Hawaii,"30,343","28,249","26,858",-4.90%,-11.50%,
,,,,,,,,,,,,,,,,,Idaho,"39,132","36,948","36,675",-0.70%,-6.30%,
,,,,,,,,,,,,,,,,,Illinois,"224,064","214,629","210,192",-2.10%,-6.20%,
,,,,,,,,,,,,,,,,,Indiana,"147,464","144,272","141,586",-1.90%,-4.00%,
,,,,,,,,,,,,,,,,,Iowa,"60,665","62,367","62,104",-0.40%,2.40%,
,,,,,,,,,,,,,,,,,Kansas,"59,238","55,541","53,618",-3.50%,-9.50%,
,,,,,,,,,,,,,,,,,Kentucky,"110,861","108,079","107,839",-0.20%,-2.70%,
,,,,,,,,,,,,,,,,,Louisiana,"128,301","121,010","120,324",-0.60%,-6.20%,
,,,,,,,,,,,,,,,,,Maine,"20,909","19,563","19,022",-2.80%,-9.00%,
,,,,,,,,,,,,,,,,,Maryland,"138,914","135,884","133,762",-1.60%,-3.70%,
,,,,,,,,,,,,,,,,,Massachusetts,"113,624","113,603","111,481",-1.90%,-1.90%,
,,,,,,,,,,,,,,,,,Michigan,"232,684","225,646","222,903",-1.20%,-4.20%,
,,,,,,,,,,,,,,,,,Minnesota,"114,954","111,265","109,750",-1.40%,-4.50%,
,,,,,,,,,,,,,,,,,Mississippi,"83,811","82,810","81,364",-1.70%,-2.90%,
,,,,,,,,,,,,,,,,,Missouri,"128,161","120,810","119,849",-0.80%,-6.50%,
,,,,,,,,,,,,,,,,,Montana,"18,478","17,732","17,337",-2.20%,-6.20%,
,,,,,,,,,,,,,,,,,Nebraska,"38,169","37,852","37,323",-1.40%,-2.20%,
,,,,,,,,,,,,,,,,,Nevada,"70,306","67,728","66,333",-2.10%,-5.70%,
,,,,,,,,,,,,,,,,,New Hampshire,"14,059","13,335","12,920",-3.10%,-8.10%,
,,,,,,,,,,,,,,,,,New Jersey,"154,253","150,512","146,720",-2.50%,-4.90%,
,,,,,,,,,,,,,,,,,New Mexico,"51,997","50,533","50,135",-0.80%,-3.60%,
,,,,,,,,,,,,,,,,,New York,"457,308","442,837","435,908",-1.60%,-4.70%,
,,,,,,,,,,,,,,,,,North Carolina,"239,439","232,374","230,169",-0.90%,-3.90%,
,,,,,,,,,,,,,,,,,North Dakota,"12,881","12,672","12,369",-2.40%,-4.00%,
,,,,,,,,,,,,,,,,,Ohio,"233,203","223,983","221,381",-1.20%,-5.10%,
,,,,,,,,,,,,,,,,,Oklahoma,"109,240","107,271","104,984",-2.10%,-3.90%,
,,,,,,,,,,,,,,,,,Oregon,"90,464","88,814","88,869",0.10%,-1.80%,
,,,,,,,,,,,,,,,,,Pennsylvania,"236,352","225,841","224,671",-0.50%,-4.90%,
,,,,,,,,,,,,,,,,,Puerto Rico,"159,202","142,461","141,279",-0.80%,-11.30%,
,,,,,,,,,,,,,,,,,Rhode Island,"19,853","19,849","19,130",-3.60%,-3.60%,
,,,,,,,,,,,,,,,,,South Carolina,"107,528","101,139","100,658",-0.50%,-6.40%,
,,,,,,,,,,,,,,,,,South Dakota,"19,049","18,395","18,050",-1.90%,-5.20%,
,,,,,,,,,,,,,,,,,Tennessee,"141,243","137,395","136,196",-0.90%,-3.60%,
,,,,,,,,,,,,,,,,,Texas,"858,671","830,654","822,613",-1.00%,-4.20%,
,,,,,,,,,,,,,,,,,Utah,"56,664","54,627","53,984",-1.20%,-4.70%,
,,,,,,,,,,,,,,,,,Vermont,"12,876","11,599","11,515",-0.70%,-10.60%,
,,,,,,,,,,,,,,,,,Virginia,"130,096","124,428","120,721",-3.00%,-7.20%,
,,,,,,,,,,,,,,,,,Virgin Islands,"4,268","3,832","3,830",-0.10%,-10.30%,
,,,,,,,,,,,,,,,,,Washington,"168,323","161,233","157,257",-2.50%,-6.60%,
,,,,,,,,,,,,,,,,,West Virginia,"40,055","38,193","37,223",-2.50%,-7.10%,
,,,,,,,,,,,,,,,,,Wisconsin,"99,349","96,534","94,447",-2.20%,-4.90%,
,,,,,,,,,,,,,,,,,Wyoming,"10,792","10,379","10,095",-2.70%,-6.50%,
,,,,,,,,,,,,,,,,,Northern Marianas,"3,203","3,248","3,209",-1.20%,0.20%,
Alabama,"84,923,273","77,704,135","71,057,962","76,644,919","70,551,498",,,,,,,,,,,,,,,,,,
Alaska,"16,102,872","13,965,769","12,855,268","12,424,923","12,146,098",,,,,,,,,,,,,,,,,,
American Samoa,"5,590,429","5,455,915","5,452,108","5,417,577","5,358,853",,,,,,,,,,,,,,,,,,
Arizona,"97,758,696","93,916,999","91,537,137","91,321,845","88,424,748",,,,,,,,,,,,,,,,,,
Arkansas,"51,813,703","50,110,638","43,880,066","44,275,758","41,656,928",,,,,,,,,,,,,,,,,,
California,"872,015,268","791,184,631","764,175,030","725,680,926","649,745,167",,,,,,,,,,,,,,,,,,
Colorado,"50,504,994","47,209,333","45,247,622","45,143,629","42,831,396",,,,,,,,,,,,,,,,,,
Connecticut,"35,435,002","27,505,801","29,152,092","29,569,803","25,750,329",,,,,,,,,,,,,,,,,,
Delaware,"10,889,276","9,446,069","9,555,472","9,243,491","8,701,730",,,,,,,,,,,,,,,,,,
District of Columbia,"8,702,426","8,498,736","7,423,302","7,670,984","7,381,580",,,,,,,,,,,,,,,,,,
Florida,"265,204,461","258,899,677","245,299,614","244,855,118","242,865,895",,,,,,,,,,,,,,,,,,
Georgia,"204,439,305","157,977,103","132,934,014","126,957,333","120,588,951",,,,,,,,,,,,,,,,,,
Guam,"6,152,492","6,665,292","6,936,408","6,885,109","6,720,784",,,,,,,,,,,,,,,,,,
Hawaii,"23,952,905","22,682,413","21,615,538","19,494,156","19,181,905",,,,,,,,,,,,,,,,,,
Idaho,"19,342,258","19,131,156","17,988,781","17,149,250","16,192,485",,,,,,,,,,,,,,,,,,
Illinois,"165,389,810","162,096,184","152,549,088","143,934,564","140,927,035",,,,,,,,,,,,,,,,,,
Indiana,"74,618,476","71,329,804","71,000,188","71,312,198","64,200,036",,,,,,,,,,,,,,,,,,
Iowa,"30,538,420","26,430,906","27,912,662","28,081,073","22,396,602",,,,,,,,,,,,,,,,,,
Kansas,"35,910,805","32,010,490","31,209,574","27,458,331","26,869,989",,,,,,,,,,,,,,,,,,
Kentucky,"61,409,394","61,465,783","59,661,543","59,561,015","53,924,433",,,,,,,,,,,,,,,,,,
Louisiana,"90,595,433","84,208,074","76,538,891","74,324,501","72,062,991",,,,,,,,,,,,,,,,,,
Maine,"12,707,243","12,011,455","12,229,557","11,946,770","9,908,808",,,,,,,,,,,,,,,,,,
Maryland,"78,777,751","74,718,417","69,755,336","77,373,397","74,348,696",,,,,,,,,,,,,,,,,,
Massachusetts,"60,053,918","57,569,359","54,145,116","51,989,002","53,474,794",,,,,,,,,,,,,,,,,,
Michigan,"132,455,018","123,385,476","124,529,207","113,469,486","108,644,405",,,,,,,,,,,,,,,,,,
Minnesota,"66,614,344","69,709,016","63,972,574","63,150,593","61,237,928",,,,,,,,,,,,,,,,,,
Mississippi,"62,042,951","59,442,534","55,935,525","57,162,420","54,716,920",,,,,,,,,,,,,,,,,,
Missouri,"68,180,521","63,538,297","63,553,133","61,808,125","55,346,752",,,,,,,,,,,,,,,,,,
Montana,"10,288,991","10,164,447","8,985,672","9,177,792","9,270,412",,,,,,,,,,,,,,,,,,
Nebraska,"22,229,753","21,547,191","21,623,645","19,695,245","18,923,654",,,,,,,,,,,,,,,,,,
Nevada,"34,686,561","33,861,878","33,206,973","32,498,300","30,485,015",,,,,,,,,,,,,,,,,,
New Hampshire,"6,738,848","6,187,622","5,738,588","5,831,747","5,618,073",,,,,,,,,,,,,,,,,,
New Jersey,"109,021,576","107,731,536","104,297,765","103,757,360","99,647,240",,,,,,,,,,,,,,,,,,
New Mexico,"29,307,701","26,524,303","26,266,480","24,522,480","22,456,996",,,,,,,,,,,,,,,,,,
New York,"346,072,315","336,991,142","322,361,585","305,594,867","292,476,318",,,,,,,,,,,,,,,,,,
North Carolina,"145,882,649","137,507,456","143,064,930","127,920,051","123,720,512",,,,,,,,,,,,,,,,,,
North Dakota,"7,884,920","7,791,458","7,272,648","7,005,060","7,299,357",,,,,,,,,,,,,,,,,,
Ohio,"119,125,887","113,207,358","107,943,509","101,852,969","89,214,696",,,,,,,,,,,,,,,,,,
Oklahoma,"58,903,372","57,327,600","54,977,885","52,385,848","47,782,403",,,,,,,,,,,,,,,,,,
Oregon,"53,374,491","51,681,364","48,101,567","47,797,853","41,733,865",,,,,,,,,,,,,,,,,,
Pennsylvania,"147,380,968","133,544,865","124,741,327","135,578,978","125,791,741",,,,,,,,,,,,,,,,,,
Puerto Rico,"205,450,048","200,569,078","172,956,752","171,070,840","164,610,390",,,,,,,,,,,,,,,,,,
Rhode Island,"14,022,144","13,033,117","11,760,462","11,001,633","10,894,284",,,,,,,,,,,,,,,,,,
South Carolina,"72,988,448","68,999,854","63,440,335","63,157,230","57,868,181",,,,,,,,,,,,,,,,,,
South Dakota,"12,321,696","11,637,313","11,439,696","11,314,437","10,638,020",,,,,,,,,,,,,,,,,,
Tennessee,"81,719,874","80,320,867","81,273,029","68,867,927","71,793,649",,,,,,,,,,,,,,,,,,
Texas,"341,010,195","303,294,654","321,933,572","307,261,975","308,756,834",,,,,,,,,,,,,,,,,,
Utah,"29,906,970","28,907,433","26,757,379","26,101,300","25,726,662",,,,,,,,,,,,,,,,,,
Vermont,"8,992,477","8,884,907","9,031,665","8,745,051","7,336,996",,,,,,,,,,,,,,,,,,
Virginia,"62,804,621","58,403,793","65,801,329","51,404,075","56,177,887",,,,,,,,,,,,,,,,,,
Virgin Islands,"5,639,868","5,023,066","4,256,512","4,149,670","3,960,637",,,,,,,,,,,,,,,,,,
Washington,"97,569,028","95,014,809","92,354,235","91,430,205","85,715,697",,,,,,,,,,,,,,,,,,
West Virginia,"25,290,435","23,570,235","20,629,393","19,624,455","19,944,218",,,,,,,,,,,,,,,,,,
Wisconsin,"60,966,695","59,156,387","58,154,595","56,634,149","49,552,315",,,,,,,,,,,,,,,,,,
Wyoming,"5,121,228","4,556,343","4,627,261","4,074,976","4,339,513",,,,,,,,,,,,,,,,,,
Northern Marianas,"3,684,639","3,510,505","3,247,478","3,098,652","2,753,038",,,,,,,,,,,,,,,,,,
,,,,,,,,,,"1,379,161","1,464,732","3,400,098","6,243,990","2,647,989,412","2,017,533,294",35.34,,,,,,,FY 2021
,,,,,,,,,,"1,446,146","1,551,034","3,250,234","6,247,414","2,884,448,549","1,984,059,680",38.48,,,,,,,FY 2020
,,,,,,,,,,"1,514,882","1,609,703","3,271,855","6,396,441","3,139,343,101","1,986,427,541",40.9,,,,,,,FY 2019
,,,,,,,,,,"1,633,864","1,712,401","3,523,863","6,870,128","3,374,688,123","1,976,341,659",40.93,,,,,,,FY 2018
